product_id,units_sold,total_sales,cogs,manufacturer,drug
64,69702,1425027.99,710573.44,AbbVie,Allopurinol
118,131788,1336647.6,595485.21,AbbVie,Chlorzoxazone
123,125721,1796908.48,1041602.54,Novartis,Diltiazem Hydrochloride
88,175710,1443369.73,670011.51,Bayer,Oxygen
24,289121,937901.5,163610.19,AstraZeneca,BANANA BOAT SUNSCREEN
60,260823,2341257.97,1553229.42,Eli Lilly,Metoclopramide
172,78481,985931,192743.12,Bayer,Xarelto
161,175833,1201626.71,407210.29,AbbVie,Citalopram
184,40007,875514.67,64948.76,Biogen,Imraldi
127,139627,2912543.88,2095983.81,AstraZeneca,Pravastatin Sodium
20,201740,2937100,2117864.7,Eli Lilly,Levothyroxine Sodium
180,88653,2115658,1278017.17,Pfizer,Ciprofloxacin
69,72195,1862729.02,1021659.26,Biogen,Prednisone
72,159597,1752274.54,907074.49,Johnson & Johnson,Flu-Cold
1,166050,1857681.77,999626.88,Eli Lilly,Keflex
48,157217,2878612.16,2020543.63,Sanofi,Persantine
27,153025,1793428.19,908662.72,Eli Lilly,Cefaclor
99,104368,1146201.6,250683.09,AbbVie,Hydralazine Hydrochloride
43,176445,1355861.1,412421.37,Bayer,Citalopram Hydrobromide
176,71329,2529937.41,1584233.81,Biogen,RHIZOPUS ARRHIZUS VAR ARRHIZUS
40,136973,2723073.91,1765245.63,Pfizer,Selegiline Hydrochloride
131,48864,1540350.32,569738.58,Biogen,ESIKA
116,76115,2510105,1505831.15,Biogen,Namenda
93,175376,2218026.75,1206180.64,Biogen,ProBLEN Estrogen and Progesterone
170,107101,1958490.97,914881.77,AstraZeneca,Double Antibiotic
54,68593,1545347.97,482212.61,Eli Lilly,Diclofenac Sodium
44,131514,3080474.64,2014858.59,Biogen,Alprazolam
17,121564,1466145.44,387524.97,AstraZeneca,SPRYCEL
86,147885,1808978.69,720231.01,Pfizer,Divalproex Sodium Extended-Release
178,109829,2786292.44,1693474.52,Roche,Motion Sickness II
87,110248,1485507.76,352858.53,AbbVie,Night-Time Original
104,182090,3217507.49,2069390.45,AbbVie,Stavudine
109,118696,1433109.5,263857.96,Eli Lilly,Tizanidine Hydrochloride
150,201167,2468436,1298844.51,Biogen,Nefazodone Hydrochloride
155,167357,2257132.08,1072766.97,AstraZeneca,Zavesca
128,103246,2700252,1511930.53,Biogen,QUETIAPINE FUMARATE
141,113510,2748508,1519635.54,Eli Lilly,"Kentucky Bluegrass (June), Standardiz"
57,139567,2928590.94,1698018.23,AbbVie,Valproic Acid
140,210120,2944223.22,1649161.98,Roche,Lucentis
66,134990,1734572,436399.12,Novartis,Antiseptic Hand Gel
77,66608,1406533.69,107902.51,Johnson & Johnson,Budpak Petroleum Jelly
185,137096,2582356,1281909.78,Pfizer,clobetasol propionate
138,154713,1743859.96,398395.47,Eli Lilly,Treatment Set TS347116
142,122444,1428293.39,82371.13,Roche,Herceptin
134,37293,3485649.76,2128714.17,Eli Lilly,Eldepryl
159,109063,1780520.27,423335.39,Eli Lilly,Levetiracetam
102,71484,1442991.59,82418.43,AstraZeneca,Naproxen Sodium
5,231084,1825783.98,453989.65,Biogen,DIPHENHYDRAMINE HYDROCHLORIDE
78,107503,2108286,694560.97,Eli Lilly,Rimmel London
90,129019,2543749.63,1096231.45,Biogen,KADCYLA
38,85086,3358913.43,1898929.25,Eli Lilly,STEMPHYLIUM SOLANI
187,144880,2604075,1130014.83,Eli Lilly,DIVALPROEX SODIUM
151,204188,3208125,1731552.31,Johnson & Johnson,Niacin
168,118682,2292546.89,789582.98,Biogen,Lamotrigine
147,164693,3023426,1485390.52,Biogen,Nortriptyline Hydrochloride
174,99442,3303186.78,1754344.77,Eli Lilly,Clobetasol Propionate
13,216001,2807831.05,1242490.08,Johnson & Johnson,Gold Bond Ultimate Healing Concentrate
152,75583,3379737.8,1774390.9,GlaxoSmithKline,Isoniazid
133,81228,2016118.04,375550.19,Eli Lilly,Methylphenidate Hydrochloride
7,224342,2313335.25,588699.33,Johnson & Johnson,Ibuprofen
110,155316,1893117.08,134244.15,Johnson & Johnson,Remicade
153,178254,1995651.94,123085.04,Biogen,Haloperidol
12,164685,2938804.92,1065324.19,AstraZeneca,SKIN FOUNDATION MINERAL MAKEUP
79,140129,3560527.35,1582876.55,AstraZeneca,Green Guard Stomach Relief
166,62913,4701990.22,2705112.11,Bayer,Amitriptyline Hydrochloride
129,116649,2933877,934986.87,Biogen,Cuvposa
36,128104,2896459.68,862377.49,Eli Lilly,Pfizerpen
162,130946,3189843.38,1058358.52,Eli Lilly,Morphine Sulfate
132,92089,2443119.04,225171.93,Eli Lilly,OLUX-E
62,140625,3417877.93,1177021.82,Pfizer,MUCOR PLUMBEUS
173,147808,2738142.96,493523.99,AstraZeneca,Furosemide
73,117857,2517600.95,195721.74,Biogen,Fumaderm
163,165666,2843262.48,509536.85,Pfizer,TAMSULOSIN HYDROCHLORIDE
103,102027,3025655,675055.5,Eli Lilly,Androgel
108,136804,3401782.44,992181.28,Bayer,Sheep Sorrel Pollen
114,86112,2825302,412654.26,Bayer,Claritin
55,161870,2835232.18,384241.13,Johnson & Johnson,Childrens Ibuprofen
130,150704,3556698.88,1083810.04,Johnson & Johnson,Medi-First Cold Relief
92,109858,3283823,679925.49,Eli Lilly,Naratriptan
19,128656,3179533.5,410405.24,Bayer,Ibuprofen PM
82,128037,2969088.25,186886.44,Eli Lilly,Ciprofloxacin
4,206134,3786377,796869.55,Sanofi,Lovenox
121,140287,3329242.48,261606.11,AbbVie,Glipizide
39,244224,3581454.82,417476.74,Johnson & Johnson,JUNIPERUS ASHEI POLLEN
32,124071,3765829,156664.74,Johnson & Johnson,XtraCare Foaming Facial Cleanser
158,79869,7925929.18,3825914.37,Merck,Divalproex sodium
192,498342,9654492.33,3189863.82,Eli Lilly,Cialis
177,123213,14759462.01,7083504.56,Novartis,Xanax
191,274342,12654492.33,1437439.99,Sanofi,Dupixent
190,240704,13759462.01,2137439.99,Merck,Keytruda
189,99858,84759462.01,3243809.46,AbbVie,Humira
